dx,dy,length,distance
6,63,10,63
12,2,10,12
296,60,10,302
11,0,10,11
9,11,10,14
157,88,10,179
10,12,10,15
632,132,10,645
455,330,10,562
22,11,10,24
22,8,10,23
35,7,10,35
32,11,10,33
216,111,10,242
24,11,10,26
19,3,10,19
14,8,10,16
20,5,10,20
30,2,10,30
70,146,10,161
27,48,10,55
63,4,10,63
231,57,10,237
156,164,10,226
14,1,10,14
1,0,10,1
23,24,10,33
78,25,10,81
10,28,10,29
128,118,10,174
164,108,10,196
120,19,10,121
403,30,10,404
182,42,11,186
2,5,11,5
3,16,11,16
11,8,11,13
13,2,11,13
34,9,11,35
34,31,11,46
231,6,11,231
2,14,11,14
20,5,11,20
5,27,11,27
137,13,11,137
11,7,11,13
25,22,11,33
59,1,11,59
24,14,11,27
356,203,11,409
285,7,11,285
157,40,11,162
442,1,11,442
26,50,11,56
4,9,11,9
266,91,11,281
1,3,11,3
50,29,11,57
257,351,11,435
9,51,11,51
9,139,11,139
256,9,11,256
31,13,11,33
68,21,11,71
225,154,11,272
443,139,11,464
11,9,11,14
12,16,11,20
21,0,11,21
262,201,11,330
119,8,11,119
31,35,11,46
17,29,11,33
3,42,11,42
2,2,11,2
155,52,12,163
19,15,12,24
10,14,12,17
57,80,12,98
90,60,12,108
75,39,12,84
15,2,12,15
13,37,12,39
463,80,12,469
489,278,12,562
386,45,12,388
358,475,12,594
243,26,12,244
4,0,12,4
91,48,12,102
32,4,12,32
11,2,12,11
6,71,12,71
52,33,12,61
328,42,12,330
231,143,12,271
40,50,12,64
115,83,12,141
87,2,12,87
115,38,12,121
93,32,12,98
308,44,12,311
151,127,12,197
17,8,12,18
94,47,12,105
322,48,12,325
214,398,12,451
15,12,12,19
254,123,12,282
30,0,12,30
12,1,12,12
171,97,12,196
1,4,12,4
25,1,12,25
466,2,12,466
182,27,12,183
451,1,12,451
0,13,12,13
176,28,12,178
162,47,12,168
322,56,12,326
45,12,12,46
0,13,12,13
1,0,13,1
290,482,13,562
391,10,13,391
18,32,13,36
10,54,13,54
15,7,13,16
402,8,13,402
78,25,13,81
528,100,13,537
24,9,13,25
36,1,13,36
11,10,13,14
89,89,13,125
126,18,13,127
83,75,13,111
1,7,13,7
145,44,13,151
8,27,13,28
1132,166,13,1144
201,113,13,230
244,36,13,246
5,6,13,7
616,118,13,627
19,8,13,20
61,6,13,61
2,30,13,30
150,27,13,152
479,16,13,479
44,17,13,47
7,6,13,9
8,8,13,11
26,4,13,26
266,104,13,285
6,63,13,63
24,0,13,24
17,180,13,180
7,10,13,12
45,3,13,45
215,3,13,215
19,15,13,24
77,38,13,85
179,79,13,195
63,59,13,86
23,2,13,23
276,33,13,277
8,21,14,22
15,11,14,18
51,67,14,84
225,233,14,323
18,26,14,31
263,9,14,263
6,19,14,19
463,235,14,519
231,181,14,293
34,67,14,75
34,67,14,75
2,125,14,125
31,40,14,50
132,76,14,152
6,5,14,7
17,30,14,34
274,27,14,275
687,249,14,730
144,28,14,146
95,0,14,95
619,0,14,619
381,94,14,392
415,80,14,422
338,58,14,342
57,18,14,59
685,238,14,725
589,16,14,589
97,42,14,105
35,3,14,35
451,45,14,453
21,4,14,21
272,48,14,276
196,306,14,363
9,11,14,14
17,4,14,17
83,2,14,83
20,0,14,20
82,115,14,141
10,11,14,14
86,13,14,86
75,112,14,134
471,127,14,487
103,52,14,115
248,159,14,294
214,161,14,267
1,51,14,51
640,63,14,643
147,26,14,149
42,215,14,219
220,53,14,226
8,236,14,236
20,27,14,33
9,16,14,18
253,6,14,253
59,10,14,59
170,330,14,371
193,126,14,230
97,15,14,98
246,51,14,251
8,2,14,8
115,50,14,125
5,12,14,13
497,78,15,503
46,48,15,66
20,30,15,36
26,17,15,31
50,53,15,72
106,245,15,266
74,57,15,93
7,51,15,51
92,143,15,170
365,91,15,376
5,52,15,52
213,40,15,216
164,111,15,198
27,180,15,182
199,15,15,199
30,4,15,30
207,235,15,313
90,34,15,96
86,52,15,100
363,306,15,474
61,87,15,106
44,7,15,44
211,82,15,226
612,168,15,634
346,86,15,356
384,54,15,387
22,14,15,26
367,84,15,376
89,400,15,409
396,279,15,484
22,25,15,33
322,10,15,322
578,107,15,587
67,86,15,109
425,62,15,429
177,137,15,223
12,10,15,15
778,41,15,779
27,83,15,87
643,6,15,643
105,30,15,109
91,54,15,105
334,66,15,340
448,212,15,495
54,62,16,82
153,42,16,158
177,201,16,267
69,13,16,70
219,2,16,219
310,175,16,355
379,144,16,405
14,18,16,22
377,33,16,378
188,45,16,193
31,50,16,58
33,5,16,33
74,334,16,342
3,24,16,24
514,360,16,627
136,151,16,203
133,167,16,213
901,254,16,936
371,9,16,371
396,140,16,420
26,12,16,28
429,236,16,489
245,404,16,472
171,37,16,174
153,277,16,316
248,138,16,283
794,30,16,794
1,25,16,25
604,65,16,607
31,27,16,41
138,59,16,150
115,52,16,126
210,289,16,357
130,233,16,266
100,55,16,114
19,1,16,19
455,106,16,467
128,48,16,136
22,15,16,26
360,58,16,364
72,57,16,91
177,212,16,276
203,248,16,320
44,10,16,45
10,43,16,44
172,46,16,178
27,52,16,58
18,79,16,81
406,346,17,533
221,214,17,307
87,8,17,87
759,20,17,759
112,91,17,144
11,20,17,22
293,68,17,300
266,79,17,277
423,326,17,534
183,144,17,232
925,199,17,946
26,61,17,66
142,17,17,143
391,80,17,399
226,13,17,226
36,4,17,36
316,1,17,316
29,10,17,30
67,11,17,67
215,46,17,219
256,100,17,274
15,22,17,26
333,140,17,361
307,232,17,384
236,149,17,279
34,73,17,80
3,20,17,20
108,42,17,115
184,130,17,225
187,82,17,204
100,325,17,340
378,28,17,379
406,139,17,429
24,82,17,85
145,45,17,151
101,26,17,104
28,22,17,35
133,278,17,308
116,82,17,142
119,15,17,119
30,3,17,30
315,43,17,317
5,106,17,106
483,228,17,534
239,109,17,262
220,58,17,227
22,89,17,91
26,11,17,28
464,182,17,498
713,191,17,738
633,343,17,719
89,2,17,89
459,54,17,462
223,90,17,240
282,315,18,422
201,148,18,249
321,201,18,378
230,25,18,231
246,22,18,246
85,70,18,110
19,9,18,21
209,55,18,216
553,35,18,554
567,307,18,644
175,59,18,184
91,69,18,114
124,61,18,138
231,152,18,276
480,96,18,489
2,124,18,124
982,135,18,991
46,73,18,86
101,275,18,292
7,17,18,18
206,64,18,215
563,126,18,576
272,19,18,272
258,431,18,502
167,297,18,340
533,326,18,624
588,278,18,650
440,29,18,440
96,197,18,219
1,23,18,23
84,183,18,201
189,13,18,189
465,42,18,466
283,33,18,284
912,336,18,971
474,415,18,630
249,186,18,310
153,193,18,246
17,10,18,19
50,3,18,50
69,18,18,71
171,4,18,171
312,38,18,314
178,351,18,393
263,8,18,263
301,56,18,306
12,19,18,22
104,114,18,154
35,23,18,41
66,278,18,285
368,129,18,389
64,140,18,153
573,136,18,588
272,104,18,291
7,57,18,57
55,3,18,55
179,47,18,185
346,18,18,346
120,139,18,183
1221,63,18,1222
406,197,18,451
418,260,18,492
139,413,19,435
825,294,19,875
320,8,19,320
223,255,19,338
80,75,19,109
1015,146,19,1025
208,52,19,214
513,6,19,513
327,12,19,327
359,385,19,526
257,5,19,257
53,29,19,60
500,351,19,610
255,207,19,328
104,224,19,246
356,77,19,364
40,72,19,82
322,72,19,329
403,109,19,417
176,138,19,223
217,91,19,235
145,155,19,212
89,345,19,356
264,112,19,286
286,195,19,346
301,10,19,301
493,94,19,501
511,195,19,546
615,4,19,615
392,94,19,403
193,55,19,200
271,153,19,311
76,131,19,151
1,191,19,191
219,93,19,237
239,149,19,281
196,385,19,432
57,190,19,198
322,185,19,371
23,69,19,72
307,2,19,307
107,24,19,109
522,466,19,699
601,203,19,634
870,225,19,898
220,137,19,259
80,147,19,167
467,16,19,467
77,39,19,86
213,56,19,220
447,84,19,454
51,51,19,72
333,18,19,333
357,14,19,357
238,206,19,314
251,131,19,283
137,137,19,193
92,104,19,138
46,213,19,217
389,35,19,390
204,98,19,226
731,128,19,742
435,1,19,435
678,126,19,689
204,86,19,221
233,10,19,233
606,187,19,634
15,91,19,92
114,48,19,123
467,164,19,494
321,3,19,321
1103,362,19,1160
36,355,19,356
677,334,19,754
129,218,19,253
52,85,19,99
19,47,19,50
196,13,19,196
480,21,19,480
38,240,19,242
324,181,19,371
850,148,19,862
536,106,19,546
58,450,19,453
294,98,20,309
60,53,20,80
327,18,20,327
320,59,20,325
422,349,20,547
151,23,20,152
920,75,20,923
79,63,20,101
327,272,20,425
384,179,20,423
722,147,20,736
231,258,20,346
4,164,20,164
5,1,20,5
105,309,20,326
14,4,20,14
117,30,20,120
9,45,20,45
127,63,20,141
103,99,20,142
224,38,20,227
123,19,20,124
160,121,20,200
414,42,20,416
406,173,20,441
508,154,20,530
70,3,20,70
84,83,20,118
421,157,20,449
310,160,20,348
159,47,20,165
598,80,20,603
264,75,20,274
302,141,20,333
520,193,20,554
157,156,20,221
607,208,20,641
675,66,20,678
356,406,20,539
33,220,20,222
219,120,20,249
297,281,20,408
303,82,20,313
69,366,20,372
657,264,20,708
236,78,20,248
622,101,20,630
222,177,20,283
186,120,20,221
38,27,20,46
492,68,20,496
283,70,20,291
221,89,20,238
83,6,20,83
92,5,20,92
179,77,20,194
480,65,20,484
85,10,20,85
838,86,20,842
495,359,20,611
56,111,20,124
290,5,20,290
242,337,20,414
351,433,20,557
135,99,20,167
271,276,20,386
509,198,20,546
641,81,20,646
86,18,20,87
296,205,20,360
387,388,20,548
5,16,20,16
1016,358,20,1077
203,5,20,203
63,156,20,168
477,443,20,650
165,133,21,211
822,551,21,989
112,83,21,139
114,227,21,254
265,396,21,476
286,68,21,293
200,156,21,253
45,180,21,185
255,62,21,262
174,90,21,195
935,440,21,1033
246,65,21,254
908,48,21,909
33,270,21,272
303,75,21,312
460,203,21,502
135,24,21,137
47,74,21,87
143,83,21,165
340,55,21,344
359,229,21,425
232,45,21,236
748,179,21,769
27,319,21,320
235,54,21,241
25,0,21,25
868,407,21,958
139,98,21,170
304,103,21,320
381,154,21,410
565,194,21,597
73,61,21,95
482,499,21,693
342,121,21,362
2,343,21,343
86,83,21,119
201,229,21,304
215,412,21,464
546,117,21,558
264,46,21,267
314,36,21,316
30,8,21,31
929,540,21,1074
27,77,21,81
130,67,21,146
408,360,21,544
30,5,21,30
515,15,21,515
155,210,21,261
502,23,21,502
20,138,21,139
1047,215,21,1068
415,156,21,443
105,93,21,140
173,106,21,202
333,20,21,333
37,111,21,117
15,133,21,133
84,394,21,402
161,32,21,164
134,159,21,207
353,140,21,379
354,134,21,378
88,15,21,89
309,274,21,412
777,390,21,869
430,54,21,433
594,123,21,606
17,12,21,20
37,218,21,221
295,162,21,336
219,246,21,329
687,321,21,758
294,240,21,379
365,276,21,457
18,249,21,249
125,62,21,139
719,51,21,720
384,30,21,385
185,25,21,186
79,286,21,296
446,85,21,454
149,0,21,149
78,32,21,84
287,163,21,330
168,304,21,347
10,2,21,10
279,133,21,309
848,65,21,850
71,8,21,71
368,232,21,435
920,87,21,924
11,29,21,31
422,308,21,522
287,304,21,418
623,108,21,632
110,97,21,146
220,60,21,228
231,109,21,255
517,517,21,731
341,13,21,341
411,369,21,552
72,148,21,164
51,110,21,121
105,70,22,126
47,36,22,59
463,120,22,478
449,150,22,473
147,135,22,199
548,103,22,557
16,201,22,201
260,274,22,377
118,120,22,168
363,175,22,402
599,183,22,626
575,264,22,632
352,50,22,355
479,169,22,507
105,6,22,105
618,130,22,631
35,177,22,180
809,215,22,837
37,217,22,220
283,228,22,363
389,288,22,484
160,170,22,233
212,13,22,212
315,440,22,541
62,251,22,258
60,258,22,264
315,11,22,315
92,18,22,93
589,47,22,590
858,111,22,865
104,106,22,148
60,114,22,128
665,189,22,691
340,321,22,467
322,64,22,328
703,29,22,703
605,115,22,615
76,158,22,175
361,220,22,422
141,36,22,145
692,139,22,705
435,274,22,514
134,20,22,135
243,193,22,310
1302,3,22,1302
4,23,22,23
140,7,22,140
17,1,22,17
65,2,22,65
364,55,22,368
940,454,22,1043
8,7,22,10
555,47,22,556
499,222,22,546
384,104,22,397
227,35,22,229
35,1,22,35
72,146,22,162
48,90,22,102
810,534,22,970
735,195,22,760
4,100,22,100
292,65,22,299
471,284,22,549
54,139,22,149
69,81,22,106
450,165,22,479
183,108,22,212
949,162,22,962
273,181,22,327
356,18,22,356
678,18,22,678
426,110,22,439
318,142,22,348
300,283,22,412
130,53,22,140
110,202,22,230
322,131,22,347
1228,429,22,1300
632,26,22,632
770,389,22,862
279,233,22,363
280,99,22,296
282,72,22,291
898,169,22,913
66,2,22,66
365,174,22,404
215,202,22,295
527,19,22,527
240,392,22,459
811,448,22,926
228,209,22,309
403,39,22,404
337,99,22,351
239,57,22,245
0,201,22,201
528,39,22,529
198,280,22,342
1,2,22,2
453,24,22,453
324,182,22,371
21,337,22,337
867,182,22,885
4,42,22,42
440,432,22,616
191,151,22,243
203,49,22,208
451,169,22,481
337,99,22,351
227,101,22,248
770,69,22,773
887,93,22,891
343,354,22,492
1106,133,22,1113
234,215,22,317
219,584,23,623
197,108,23,224
827,338,23,893
47,73,23,86
226,149,23,270
61,311,23,316
1449,135,23,1455
93,248,23,264
71,317,23,324
183,224,23,289
13,19,23,23
575,383,23,690
173,298,23,344
366,54,23,369
485,122,23,500
127,55,23,138
82,190,23,206
303,261,23,399
125,256,23,284
262,166,23,310
417,221,23,471
790,18,23,790
98,47,23,108
427,127,23,445
953,266,23,989
23,24,23,33
257,65,23,265
543,68,23,547
690,191,23,715
473,25,23,473
329,13,23,329
65,317,23,323
547,146,23,566
548,41,23,549
659,104,23,667
367,502,23,621
332,258,23,420
350,18,23,350
448,63,23,452
153,53,23,161
672,72,23,675
58,53,23,78
170,40,23,174
172,10,23,172
342,472,23,582
316,181,23,364
416,47,23,418
748,327,23,816
159,25,23,160
152,98,23,180
1438,265,23,1462
213,274,23,347
55,105,23,118
1287,134,23,1293
673,311,23,741
347,154,23,379
780,44,23,781
488,56,23,491
818,52,23,819
1380,11,23,1380
319,190,23,371
242,135,23,277
4,68,23,68
173,180,23,249
587,302,23,660
181,41,23,185
49,210,23,215
624,301,23,692
200,80,23,215
100,207,23,229
159,185,23,243
952,556,23,1102
39,141,23,146
612,205,23,645
1000,119,23,1007
123,156,23,198
45,90,23,100
256,164,23,304
260,148,23,299
315,75,23,323
113,131,23,173
599,256,23,651
284,3,23,284
446,82,23,453
128,235,23,267
256,15,23,256
236,21,23,236
388,271,23,473
37,260,23,262
94,71,23,117
446,8,23,446
457,87,23,465
132,48,23,140
454,117,23,468
395,44,23,397
479,558,23,735
144,418,23,442
185,391,23,432
1015,275,23,1051
255,114,23,279
135,298,23,327
450,12,23,450
972,5,23,972
227,253,23,339
254,170,23,305
683,179,23,706
777,104,23,783
25,36,23,43
109,21,23,111
725,63,23,727
169,38,23,173
702,35,23,702
393,160,23,424
618,142,23,634
257,381,23,459
242,307,23,390
147,53,23,156
352,55,23,356
111,13,23,111
228,30,23,229
778,134,23,789
329,3,23,329
157,123,23,199
315,64,23,321
273,106,23,292
444,633,23,773
411,31,23,412
199,184,23,271
421,58,24,424
159,47,24,165
91,268,24,283
476,98,24,485
307,72,24,315
64,189,24,199
859,32,24,859
114,189,24,220
216,52,24,222
251,207,24,325
288,96,24,303
23,26,24,34
204,191,24,279
8,19,24,20
275,61,24,281
764,2,24,764
308,142,24,339
336,39,24,338
301,76,24,310
86,172,24,192
142,198,24,243
184,210,24,279
5,20,24,20
537,257,24,595
251,48,24,255
245,212,24,323
573,202,24,607
151,90,24,175
779,249,24,817
592,8,24,592
491,67,24,495
144,329,24,359
420,125,24,438
141,277,24,310
218,173,24,278
540,286,24,611
283,131,24,311
708,93,24,714
659,54,24,661
113,70,24,132
78,24,24,81
26,5,24,26
395,53,24,398
699,381,24,796
84,424,24,432
330,75,24,338
197,161,24,254
414,82,24,422
232,282,24,365
12,153,24,153
511,281,24,583
922,210,24,945
335,187,24,383
416,343,24,539
289,233,24,371
296,96,24,311
449,136,24,469
252,537,24,593
247,173,24,301
607,33,24,607
233,38,24,236
284,267,24,389
353,40,24,355
31,309,24,310
283,25,24,284
128,69,24,145
542,329,24,634
248,380,24,453
130,39,24,135
115,5,24,115
51,5,24,51
538,44,24,539
266,12,24,266
419,269,24,497
498,15,24,498
179,47,24,185
44,525,24,526
30,92,24,96
19,80,24,82
282,305,24,415
178,40,24,182
355,39,24,357
212,62,24,220
105,183,24,210
583,325,24,667
216,294,24,364
277,325,24,427
215,430,24,480
362,55,24,366
31,369,24,370
195,92,24,215
464,72,24,469
788,230,24,820
917,116,24,924
506,346,24,612
74,45,24,86
143,127,24,191
85,115,24,143
318,45,24,321
616,261,24,669
934,109,24,940
253,57,24,259
2,4,24,4
26,50,24,56
795,349,24,868
328,412,24,526
728,203,24,755
11,5,24,12
359,18,24,359
155,52,24,163
208,62,24,217
98,141,24,171
277,208,24,346
519,152,24,540
235,115,24,261
694,313,24,761
288,266,24,392
425,194,24,467
376,155,24,406
392,450,24,596
50,18,24,53
76,227,24,239
330,40,24,332
280,98,24,296
90,290,24,303
216,21,24,217
162,251,24,298
857,320,24,914
581,150,24,600
79,47,24,91
239,94,24,256
689,108,24,697
754,234,24,789
395,94,24,406
477,41,24,478
6,2,25,6
623,263,25,676
2,52,25,52
186,253,25,314
648,23,25,648
117,66,25,134
531,30,25,531
158,177,25,237
1139,62,25,1140
160,55,25,169
154,28,25,156
544,102,25,553
612,8,25,612
465,194,25,503
1095,382,25,1159
39,216,25,219
59,68,25,90
616,4,25,616
848,233,25,879
111,48,25,120
762,66,25,764
282,58,25,287
662,173,25,684
3,11,25,11
202,189,25,276
654,50,25,655
928,242,25,959
841,93,25,846
368,133,25,391
236,298,25,380
414,329,25,528
374,97,25,386
8,19,25,20
338,20,25,338
498,80,25,504
411,27,25,411
397,196,25,442
399,51,25,402
700,63,25,702
202,334,25,390
58,107,25,121
202,463,25,505
584,166,25,607
454,127,25,471
717,276,25,768
486,204,25,527
740,291,25,795
127,85,25,152
309,40,25,311
67,80,25,104
249,139,25,285
275,157,25,316
677,298,25,739
335,205,25,392
37,102,25,108
512,18,25,512
363,55,25,367
3,154,25,154
54,297,25,301
202,334,25,390
151,284,25,321
423,116,25,438
501,461,25,680
326,235,25,401
169,137,25,217
301,122,25,324
470,78,25,476
542,32,25,542
523,122,25,537
305,115,25,325
107,61,25,123
469,61,25,472
77,456,25,462
407,27,25,407
90,76,25,117
109,3,25,109
701,331,25,775
61,3,25,61
534,159,25,557
590,162,25,611
72,397,25,403
716,72,25,719
18,16,25,24
883,5,25,883
49,175,25,181
759,152,25,774
1011,1,25,1011
428,81,25,435
294,71,25,302
906,22,25,906
35,383,25,384
999,187,25,1016
248,165,25,297
334,107,25,350
1034,101,25,1038
932,152,25,944
1472,49,25,1472
335,105,25,351
17,91,25,92
237,13,25,237
193,328,25,380
229,41,25,232
59,67,25,89
287,399,25,491
471,277,25,546
561,182,25,589
85,275,25,287
540,295,25,615
387,578,25,695
166,18,25,166
413,224,25,469
8,12,25,14
1548,151,25,1555
186,52,25,193
236,138,25,273
682,342,25,762
54,21,25,57
574,10,25,574
233,153,25,278
158,174,25,235
390,120,25,408
1345,73,25,1346
310,4,25,310
218,202,25,297
509,399,25,646
414,146,25,438
260,49,25,264
429,119,25,445
487,221,25,534
824,9,25,824
122,268,25,294
231,25,25,232
517,140,25,535
35,204,25,206
172,315,25,358
344,18,25,344
1005,76,25,1007
14,408,25,408
746,58,26,748
410,287,26,500
444,71,26,449
686,118,26,696
275,228,26,357
421,190,26,461
478,97,26,487
847,11,26,847
768,25,26,768
151,134,26,201
31,235,26,237
1173,191,26,1188
499,125,26,514
639,110,26,648
434,180,26,469
123,189,26,225
263,99,26,281
467,55,26,470
456,83,26,463
1224,162,26,1234
100,101,26,142
99,64,26,117
1158,168,26,1170
480,119,26,494
45,425,26,427
1202,399,26,1266
268,150,26,307
275,22,26,275
1071,27,26,1071
79,249,26,261
457,13,26,457
733,166,26,751
1231,33,26,1231
92,240,26,257
339,56,26,343
546,216,26,587
352,157,26,385
361,87,26,371
47,1,26,47
66,232,26,241
212,45,26,216
135,67,26,150
242,344,26,420
933,248,26,965
404,360,26,541
491,94,26,499
1121,26,26,1121
986,262,26,1020
288,22,26,288
38,357,26,359
212,156,26,263
268,63,26,275
191,208,26,282
6,90,26,90
1,14,26,14
75,261,26,271
341,202,26,396
89,15,26,90
1100,209,26,1119
601,109,26,610
330,184,26,377
134,8,26,134
258,67,26,266
300,295,26,420
416,237,26,478
862,85,26,866
139,168,26,218
266,25,26,267
67,129,26,145
423,104,26,435
887,40,26,887
617,34,26,617
13,354,26,354
592,112,26,602
169,64,26,180
148,177,26,230
424,239,26,486
365,35,26,366
841,192,26,862
81,63,26,102
538,313,26,622
611,67,26,614
510,123,26,524
426,258,26,498
442,47,26,444
217,38,26,220
447,119,26,462
547,87,26,553
618,353,26,711
610,27,26,610
25,16,26,29
353,333,26,485
721,157,26,737
250,624,26,672
128,21,26,129
371,32,26,372
633,31,26,633
232,139,26,270
45,294,26,297
448,226,26,501
792,329,26,857
87,15,26,88
140,217,26,258
231,311,26,387
257,446,26,514
22,218,26,219
87,11,26,87
589,247,26,638
1322,526,26,1422
365,32,26,366
243,198,26,313
9,186,26,186
454,4,26,454
291,142,26,323
213,4,26,213
128,101,26,163
66,296,26,303
17,13,26,21
109,27,26,112
927,18,26,927
248,139,26,284
622,255,26,672
197,64,26,207
640,34,26,640
24,29,26,37
483,66,26,487
441,7,26,441
285,47,26,288
407,372,26,551
391,201,26,439
668,108,26,676
739,250,26,780
350,256,26,433
350,80,26,359
206,125,26,240
806,260,26,846
703,109,26,711
318,261,26,411
678,574,26,888
276,94,26,291
735,176,26,755
